工程採購數量計算表,,,,,,,,,,,,,,,,,,,,,,,,
物流中心,,,,,,,,,,,,,,,,,,,,,,,,
輕隔間數量計算表 (全棟合併),,,,,,,,,,,,,,,,,,,,,,,,
樓別名稱,,輕隔間牆,,,,,,門開口、窗開口,,,,,,,輕隔間牆面積,,,,,,,,,
編號,空間名稱,空間周長,輕隔間牆類型,牆長,牆高,面積,小計,名稱,數量,長,高,面積,小計,總計,12cm輕隔間,79mm 內部隔板 (1-hr),135mm 內部隔板 (2-hr),138mm 內部隔板 (1-hr),玻璃隔間1CM,廁所隔牆2.5cm,廁所隔牆3cm,輕隔間 (1hr) 79mm,輕隔間 (1hr) 138mm,輕隔間 (2hr) 135mm
F865,配膳室,,,,,,,,,,,,,,,,,,,,,,,
F869,洗衣/烘衣房,,,,,,,,,,,,,,,,,,,,,,,
F870,污衣室,,,,,,,,,,,,,,,,,,,,,,,
F871,污物室,,,,,,,,,,,,,,,,,,,,,,,
F872,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F873,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F874,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F875,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F876,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F877,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F878,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F879,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F880,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F882,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F883,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F884,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F885,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F886,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F887,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F888,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F890,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F891,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F892,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F893,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F894,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F895,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F896,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F897,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F898,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F899,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F900,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F901,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F902,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F903,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F904,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F905,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F906,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F907,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F908,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F909,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F910,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F911,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F912,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F913,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F914,隔離室,,,,,,,,,,,,,,,,,,,,,,,
F915,前室,,,,,,,,,,,,,,,,,,,,,,,
F916,B區走廊,,,,,,,,,,,,,,,,,,,,,,,
F918,B梯廳,,,,,,,,,,,,,,,,,,,,,,,
F919,B無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F920,B安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F921,男浴室,,,,,,,,,,,,,,,,,,,,,,,
F924,無障礙廁所,,,,,,,,,,,,,,,,,,,,,,,
F925,A區梯廳,,,,,,,,,,,,,,,,,,,,,,,
F926,女廁,,廁所隔牆3cm,=1.34+2.27+1.04,2.18,=E132*F132,=G132,衛生間門60*220,3,0.60,2.20,=J132*K132*L132,=M132,=H132-N132,,,,,,,=O132,,,
F927,男廁,,廁所隔牆3cm,=1.33+1.07,2.19,=E133*F133,=G133,衛生間門60*220,1,0.60,2.20,=J133*K133*L133,=M133,=H133-N133,,,,,,,=O133,,,
F928,A安全梯(無障礙樓梯),,,,,,,,,,,,,,,,,,,,,,,
F929,A無障礙電梯,,,,,,,,,,,,,,,,,,,,,,,
F931,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F932,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F933,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F934,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F935,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F936,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F939,陽台,,,,,,,,,,,,,,,,,,,,,,,
F940,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F941,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F942,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F943,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F945,餐廳/交誼空間,,,,,,,,,,,,,,,,,,,,,,,
F946,動態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F947,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F948,洗漱區,,,,,,,,,,,,,,,,,,,,,,,
F949,靜態休閒區,,,,,,,,,,,,,,,,,,,,,,,
F952,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F953,A區走廊,,,,,,,,,,,,,,,,,,,,,,,
F1061,教具室,,,,,,,,,,,,,,,,,,,,,,,
F1062,醫材儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F1063,員工休息室,,,,,,,,,,,,,,,,,,,,,,,
F1064,病歷室,,,,,,,,,,,,,,,,,,,,,,,
F1065,準備室,,,,,,,,,,,,,,,,,,,,,,,
F1066,工作站,,,,,,,,,,,,,,,,,,,,,,,
F1067,配膳室,,,,,,,,,,,,,,,,,,,,,,,
F1068,洗衣/烘衣房,,,,,,,,,,,,,,,,,,,,,,,
F1069,污衣室,,,,,,,,,,,,,,,,,,,,,,,
F1070,污物室,,,,,,,,,,,,,,,,,,,,,,,
F1071,電氣室,,,,,,,,,,,,,,,,,,,,,,,
F1072,儲藏室,,,,,,,,,,,,,,,,,,,,,,,
F1073,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1074,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1075,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1076,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1077,寢室【1床】,,,,,,,,,,,,,,,,,,,,,,,
F1078,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1079,寢室【2床】,,,,,,,,,,,,,,,,,,,,,,,
F1080,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1081,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1082,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1083,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1084,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1085,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1086,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1087,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1088,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1089,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1090,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1091,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1092,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1093,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1094,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1095,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1096,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1097,浴廁,,,,,,,,,,,,,,,,,,,,,,,
F1098,浴廁,,,,,,,,,,,,,,,,,,,,,,,
